pdf,table_pages,table_names
pdfs/Ecuador/2020/1ECUEA2020002.pdf,95,Table_4._Ecuador:_Non-Financial_Public_Sector_Corporations_Covered_Under_the_
pdfs/Ecuador/2020/1ECUEA2020003.pdf,35,"Table_2a._Ecuador:_Operations_of_the_Nonfinancial_Public_Sector_(Net_Accounting)_(in_millions_of_U.S._dollars,_unless_otherwise_indicated)"
pdfs/Ecuador/2020/1ECUEA2020003.pdf,36,"Table_2b._Ecuador:_Operations_of_the_Nonfinancial_Public_Sector_(Net_Accounting)_(in_percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Ecuador/2020/1ECUEA2020003.pdf,37,"Table_3._Ecuador:_Nonfinancial_Public_Sector_Financing_(in_millions_of_U.S._dollars,_unless_otherwise_indicated)"
pdfs/Ecuador/2020/1ECUEA2020003.pdf,87,Table_5._Ecuador:_Non-Financial_Public_Sector_Corporations_Covered_Under_the_
pdfs/Ecuador/2021/1ECUEA2021001.pdf,47,_Table_2b._Ecuador:_Operations_of_the_Nonfinancial_Public_Sector_(Net_Accounting)
pdfs/Ecuador/2021/1ECUEA2021001.pdf,48,"Table_3._Ecuador:_Nonfinancial_Public_Sector_Financing_(in_millions_of_US_dollars,_unless_otherwise_indicated)"
pdfs/Ecuador/2021/1ECUEA2021001.pdf,113,Table_5._Ecuador:_Non-Financial_Public_Sector_Corporations_Covered_Under_the_
"pdfs/Egypt, Arab Republic of/2018/cr1814.pdf",42,"Table_6._Egypt:_General_Government_Operations,_201415–202122_1_"
"pdfs/Egypt, Arab Republic of/2018/cr1814.pdf",45,"Table_8a._Egypt:_Summary_of_National_Accounts,_201112–202122_"
"pdfs/Egypt, Arab Republic of/2018/cr1814.pdf",46,"Table_8b._Egypt:_Summary_of_National_Accounts,_201112–202122_"
"pdfs/Egypt, Arab Republic of/2018/cr18213.pdf",29,"Table_4._Egypt:_General_Government_Operations,_201516–202223_1_"
"pdfs/Egypt, Arab Republic of/2018/cr18213.pdf",32,"Table_7a._Egypt:_Summary_of_National_Accounts,_201516–202223_(In_percent,_unless_otherwise_indicated)"
"pdfs/Egypt, Arab Republic of/2018/cr18213.pdf",33,"Table_7b._Egypt:_Summary_of_National_Accounts,_201516–202223_(In_percent_of_GDP)"
"pdfs/Egypt, Arab Republic of/2019/1EGYEA2019001.pdf",28,"Table_4._Egypt:_General_Government_Operations,_201516–202223_1_"
"pdfs/Egypt, Arab Republic of/2019/1EGYEA2019001.pdf",31,"Table_7a._Egypt:_Summary_of_National_Accounts,_201516–202223_(In_percent,_unless_otherwise_indicated)"
"pdfs/Egypt, Arab Republic of/2019/1EGYEA2019001.pdf",32,"Table_7b._Egypt:_Summary_of_National_Accounts,_201516–202223_(In_percent_of_GDP)"
"pdfs/Egypt, Arab Republic of/2019/1EGYEA2019002.pdf",27,"Table_4._Egypt:_General_Government_Operations,_201617–202324_1_"
"pdfs/Egypt, Arab Republic of/2019/1EGYEA2019002.pdf",30,"Table_7a._Egypt:_Summary_of_National_Accounts,_201617–202324_(In_percent,_unless_otherwise_indicated)"
"pdfs/Egypt, Arab Republic of/2019/1EGYEA2019002.pdf",31,"Table_7b._Egypt:_Summary_of_National_Accounts,_201617–202324_(In_percent_of_GDP)"
"pdfs/Egypt, Arab Republic of/2020/1EGYEA2020001.pdf",31,"Table_4._Egypt:_General_Government_Operations,_201718–202425_1_"
"pdfs/Egypt, Arab Republic of/2020/1EGYEA2020001.pdf",34,"Table_7a._Egypt:_Summary_of_National_Accounts,_201718–202425_(In_percent)"
"pdfs/Egypt, Arab Republic of/2020/1EGYEA2020001.pdf",35,"Table_7b._Egypt:_Summary_of_National_Accounts,_201718–202425_(In_percent_of_GDP)"
"pdfs/Egypt, Arab Republic of/2020/1EGYEA2020002.pdf",20,"Table_4._Egypt:_General_Government_Operations,_201718–202425_1_"
"pdfs/Egypt, Arab Republic of/2020/1EGYEA2020002.pdf",23,"Table_7a._Egypt:_Summary_of_National_Accounts,_201718–202425_(In_percent)"
"pdfs/Egypt, Arab Republic of/2020/1EGYEA2020002.pdf",24,"Table_7b._Egypt:_Summary_of_National_Accounts,_201718–202425_(In_percent_of_GDP)"
"pdfs/Egypt, Arab Republic of/2021/1EGYEA2021001.pdf",26,"Table_4._Egypt:_General_Government_Operations,_201819–202425_1_"
"pdfs/Egypt, Arab Republic of/2021/1EGYEA2021001.pdf",29,"Table_7a._Egypt:_Summary_of_National_Accounts,_201819–202425_(In_percent)"
"pdfs/Egypt, Arab Republic of/2021/1EGYEA2021001.pdf",30,"Table_7b._Egypt:_Summary_of_National_Accounts,_201819–202425_(In_percent_of_GDP)"
"pdfs/Egypt, Arab Republic of/2021/1EGYEA2021002.pdf",36,"Table_4._Egypt:_General_Government_Operations,_201819–202425_1_"
"pdfs/Egypt, Arab Republic of/2021/1EGYEA2021002.pdf",39,"Table_7a._Egypt:_Summary_of_National_Accounts,_201819–202425_(In_percent)"
"pdfs/Egypt, Arab Republic of/2021/1EGYEA2021002.pdf",40,"Table_7b._Egypt:_Summary_of_National_Accounts,_201819–202425_(In_percent_of_GDP)"
pdfs/El Salvador/2018/cr18151-ElSalvadorBundle.pdf,37,Table_5._El_Salvador:_Operations_of_the_Nonfinancial_Public_Sector_1_(In_millions_of_U.S._dollars)
pdfs/El Salvador/2018/cr18151-ElSalvadorBundle.pdf,40,Table_8._El_Salvador:_Public_Sector_Financing_Requirements_and_Sources_1_
pdfs/El Salvador/2019/1SLVEA2019001.pdf,37,Table_5._El_Salvador:_Operations_of_the_Nonfinancial_Public_Sector_
pdfs/El Salvador/2019/1SLVEA2019001.pdf,40,Table_8._El_Salvador:_Public_Sector_Financing_Requirements_and_Sources_
pdfs/El Salvador/2020/1SLVEA2020002.pdf,18,Table_4._El_Salvador:_Operations_of_the_Nonfinancial_Public_Sector_
pdfs/El Salvador/2020/1SLVEA2020002.pdf,19,Table_5._El_Salvador:_Public_Sector_Financing_Requirements_and_Sources_
pdfs/El Salvador/2022/1SLVEA2022001.pdf,45,Table_5a._El_Salvador:_Statement_of_Operations_of_the_Nonfinancial_Public_Sector1_(Percent_of_GDP)
pdfs/El Salvador/2022/1SLVEA2022001.pdf,46,Table_5b._El_Salvador:_Statement_of_Operations_of_the_Central_Government1_(Percent_of_GDP)
pdfs/El Salvador/2022/1SLVEA2022001.pdf,47,Table_6._El_Salvador:_Public_Sector_Financing_Requirements_and_Sources1_(In_millions_of_U.S._dollars_and_percent_of_GDP)
"pdfs/Equatorial Guinea, Republic of/2018/cr18310.pdf",22,"Table_3a._Quarterly_Summary_of_Central_Government_Operations,_2014–18_(Billions_of_CFA_Francs,_unless_otherwise_specified)"
"pdfs/Equatorial Guinea, Republic of/2018/cr18310.pdf",23,"Table_3b._Summary_of_Central_Government_Operations,_2014–23_(Billions_of_CFA_Francs,_unless_otherwise_specified)"
"pdfs/Equatorial Guinea, Republic of/2018/cr18310.pdf",24,"Table_3c._Summary_of_Central_Government_Operations,_2014–23_(In_percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Equatorial Guinea, Republic of/2019/1GNQEA2019001.pdf",37,"Table_3a._Equatorial_Guinea:_Summary_of_Central_government_Financial_Operations,_2016–20Q4_(Billions_of_CFA_francs,_unless_otherwise_specified)"
"pdfs/Equatorial Guinea, Republic of/2019/1GNQEA2019001.pdf",38,"Table_3b._Equatorial_Guinea:_Summary_of_Central_Government_Financial_Operations,_2015–24_(Billions_of_CFA_francs,_unless_otherwise_specified)"
"pdfs/Equatorial Guinea, Republic of/2019/1GNQEA2019001.pdf",39,"Table_3c._Equatorial_Guinea:_Summary_of_Central_Government_Financial_Operations,_2015–24_(Percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Equatorial Guinea, Republic of/2021/1GNQEA2021001.pdf",26,"Table_3a._Equatorial_Guinea:_Summary_of_Central_Government_Financial_Operations,_2018–26_(Billions_of_CFA_francs,_unless_otherwise_specified)"
"pdfs/Equatorial Guinea, Republic of/2021/1GNQEA2021001.pdf",27,"Table_3b._Equatorial_Guinea:_Summary_of_Central_Government_Financial_Operations,_2018–26_(Percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Estonia, Republic of/2018/cr18125.pdf",35,"Table_3._Estonia:_Summary_of_General_Government_Operations,_2014–20_(In_percent_of_GDP)"
"pdfs/Estonia, Republic of/2018/cr18125.pdf",36,"Table_4._Estonia:_General_Government_Financial_Assets_and_Liabilities,_2011–17_(In_millions_of_euros)"
"pdfs/Estonia, Republic of/2020/1ESTEA2020001.pdf",35,"Table_2._Estonia:_Summary_of_General_Government_Operations,_2016–24_(In_percent_of_GDP)"
"pdfs/Estonia, Republic of/2020/1ESTEA2020001.pdf",36,"Table_3._Estonia:_General_Government_Financial_Assets_and_Liabilities,_2012–19:Q2_(In_millions_of_euros)"
"pdfs/Estonia, Republic of/2021/1ESTEA2021001.pdf",42,"Table_2._Estonia:_Summary_of_General_Government_Operations,_2018–26_(In_percent_of_GDP)"
"pdfs/Estonia, Republic of/2021/1ESTEA2021001.pdf",43,"Table_3._Estonia:_General_Government_Financial_Assets_and_Liabilities,_2015–20_(In_millions_of_euros)"
"pdfs/Eswatini, Kingdom of/2020/1SWZEA2020001.pdf",36,"Table_2._Eswatini:_Fiscal_Operations_of_the_Central_Government,_201516–24251_(Emalangeni_millions)"
"pdfs/Eswatini, Kingdom of/2020/1SWZEA2020001.pdf",37,"Table_3._Eswatini:_Fiscal_Operations_of_the_Central_Government,_201516–24251_(Percent_of_GDP)"
"pdfs/Eswatini, Kingdom of/2020/1SWZEA2020002.pdf",21,"Table_2._Eswatini:_Fiscal_Operations_of_the_Central_Government,_201718–25261_(Emalangeni_millions)"
"pdfs/Eswatini, Kingdom of/2020/1SWZEA2020002.pdf",22,"Table_3._Eswatini:_Fiscal_Operations_of_the_Central_Government,_201718–25261_(Percent_of_GDP)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2018/cr1818.pdf",10,"Table_1._Ethiopia:_Fiscal_Operations,_201516-201617_(Millions_of_birr,_unless_otherwise_specified)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2018/cr1818.pdf",26,"Table_3a._Ethiopia:_General_Government_Operations,_201314–2021221_(Millions_of_birr)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2018/cr1818.pdf",27,"Table_3b._Ethiopia:_General_Government_Operations,_201314–2021221_(Percent_of_GDP)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2018/cr18354.pdf",27,"Table_2a._Ethiopia:_General_Government_Operations,_201415–2022231_(Millions_of_Birr)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2018/cr18354.pdf",28,"Table_2b._Ethiopia:_General_Government_Operations,_201415–2022231_(Percent_of_GDP)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2020/1ETHEA2020001.pdf",36,"Table_2a._Ethiopia:_General_Government_Operations,_201516–2023241_(Millions_of_Birr)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2020/1ETHEA2020001.pdf",37,"Table_2b._Ethiopia:_General_Government_Operations,_201516–2023241_(Percent_of_GDP)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2020/dsacr20150.pdf",18,"Table_2a._Ethiopia:_General_Government_Operations,_201718–2024251_(Millions_of_birr)"
"pdfs/Ethiopia, The Federal Democratic Republic of/2020/dsacr20150.pdf",19,"Table_2b._Ethiopia:_General_Government_Operations,_201718–2024251_(Percent_of_GDP)"
pdfs/Euro Area/2018/cr18223.pdf,,""
pdfs/Euro Area/2019/1EUREA2019001.pdf,,""
pdfs/Euro Area/2020/1EUREA2020001.pdf,,""
"pdfs/Fiji, Republic of/2019/1FJIEA2019001.pdf",32,"Table_3._Fiji:_Central_Government_Operations,_2016–23_(In_percent_of_GDP)"
"pdfs/Fiji, Republic of/2020/1FJIEA2020001.pdf",25,"Table_3._Fiji:_Central_Government_Operations,_2015-2024_"
"pdfs/Fiji, Republic of/2021/1FJIEA2021001.pdf",30,"Table_3A._Fiji:_Central_Government_Operations,_CY2018–26_(In_millions_of_Fiji_dollars)"
"pdfs/Fiji, Republic of/2021/1FJIEA2021001.pdf",31,"Table_3B._Fiji:_Central_Government_Operations,_FY2018–27_(In_millions_of_Fiji_dollars)"
pdfs/Finland/2019/cr1907.pdf,37,"Table_4._Finland:_General_Government_Statement_of_Operations,_2015–2024_(Percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Finland/2020/1FINEA2020001.pdf,33,"Table_4._Finland:_General_Government_Statement_of_Operations,_2017–2025_(Percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Finland/2022/1FINEA2022001.pdf,33,"Table_4._Finland:_General_Government_Statement_of_Operations,_2019–27_(Percent_of_GDP,_unless_otherwise_indicated)"
pdfs/France/2018/cr18243.pdf,39,"Table_2._France:_General_Government_Accounts,_2014–23_(In_percent_of_GDP_unless_otherwise_indicated)"
pdfs/France/2019/1FRAEA2019002.pdf,39,"Table_3._France:_General_Government_Accounts,_2015–24_(In_percent_of_GDP_unless_otherwise_indicated)"
pdfs/France/2021/1FRAEA2021001.pdf,41,"Table_2._France:_General_Government_Operations,_2015–25_(In_percent_of_GDP_unless_otherwise_indicated)"
pdfs/France/2022/1FRAEA2022001.pdf,43,"Table_2._France:_General_Government_Operations,_2018–26_(In_percent_of_GDP_unless_otherwise_indicated)"
pdfs/Gabon/2018/cr18269.pdf,36,"Table_3a._Gabon:_Central_Government_Accounts,_2015–23_(Billions_of_CFA_francs)"
pdfs/Gabon/2018/cr18269.pdf,37,"Table_3b._Gabon:_Central_Government_Accounts,_2015–23_(Percent_of_GDP;_billions_of_CFA_francs)"
pdfs/Gabon/2018/cr18269.pdf,38,"Table_3c._Gabon:_Central_Government_Accounts,_2015–23_(Percent_of_non-oil_GDP;_billions_of_CFA_francs)"
pdfs/Gabon/2019/1GABEA2019002.pdf,33,"Table_3a._Gabon:_Central_Government_Accounts,_2016–24_(Billions_of_CFA_francs)"
pdfs/Gabon/2019/1GABEA2019002.pdf,34,"Table_3b._Gabon:_Central_Government_Accounts,_2016–24_(Percent_of_GDP;_Billions_of_CFA_francs)"
pdfs/Gabon/2019/1GABEA2019002.pdf,35,Table_3c._Gabon:_Central_Government_Accounts;_2016–24_(Percent_of_non-oil_GDP;_billions_of_CFA_francs)
pdfs/Gabon/2019/cr1917-Gabon.pdf,28,"Table_3a._Gabon:_Central_Government_Accounts,_2015–20_(Billions_of_CFA_francs)"
pdfs/Gabon/2019/cr1917-Gabon.pdf,29,"Table_3b._Gabon:_Central_Government_Accounts,_2015–20_(Percent_of_GDP;_billions_of_CFA_francs)"
pdfs/Gabon/2019/cr1917-Gabon.pdf,30,"Table_3c._Gabon:_Central_Government_Accounts,_2015–20_(Percent_of_Non-oil_GDP;_Billions_of_CFA_francs)"
pdfs/Gabon/2020/1GABEA2020001.pdf,18,"Table_3a._Gabon:_Central_Government_Accounts,_2017–25_(Billions_of_CFA_francs)"
pdfs/Gabon/2020/1GABEA2020001.pdf,19,"Table_3b._Gabon:_Central_Government_Accounts,_2017–25_(Percent_of_GDP;_Billions_of_CFA_francs)"
pdfs/Gabon/2020/1GABEA2020001.pdf,20,"Table_3c._Gabon:_Central_Government_Accounts,_2017–25_(Percent_of_non-oil_GDP;_Billions_of_CFA_francs)"
pdfs/Gabon/2020/1GABEA2020003.pdf,20,"Table_3a._Gabon:_Central_Government_Accounts,_2017–25_(Billions_of_CFA_francs)"
pdfs/Gabon/2020/1GABEA2020003.pdf,21,"Table_3b._Gabon:_Central_Government_Accounts,_2017–25_(Percent_of_GDP;_Billions_of_CFA_francs)"
pdfs/Gabon/2020/1GABEA2020003.pdf,22,"Table_3c._Gabon:_Central_Government_Accounts,_2017–25_(Percent_of_non-oil_GDP;_Billions_of_CFA_francs)"
pdfs/Gabon/2021/1GABEA2021001.pdf,28,"Table_3a._Gabon:_Central_Government_Accounts,_2018–26_(Billions_of_CFA_francs)"
pdfs/Gabon/2021/1GABEA2021001.pdf,29,"Table_3b._Gabon:_Central_Government_Accounts,_2018–26_(Percent_of_GDP;_Billions_of_CFA_francs)"
pdfs/Gabon/2021/1GABEA2021001.pdf,30,"Table_3c._Gabon:_Central_Government_Accounts,_2018–26_(Percent_of_non-oil_GDP;_Billions_of_CFA_francs)"
"pdfs/Gambia, The/2018/cr18197.pdf",25,"Table_4a._The_Gambia:_Statement_of_Central_Government_Operations,_2015–23_(Millions_of_local_currency)"
"pdfs/Gambia, The/2018/cr18197.pdf",26,"Table_4b._The_Gambia:_Statement_of_Central_Government_Operations,_2017–19_(Cumulative,_millions_of_local_currency)"
"pdfs/Gambia, The/2018/cr18197.pdf",27,"Table_5._The_Gambia:_Statement_of_Central_Government_Operations,_2015–23_(Percent_GDP)"
"pdfs/Gambia, The/2018/cr1899.pdf",35,"Table_2._The_Gambia:_Statement_of_Central_Government_Operations,_2015-23_(Millions_of_local_currency)"
"pdfs/Gambia, The/2018/cr1899.pdf",36,"Table_3._The_Gambia:_Statement_of_Central_Government_Operations,_2015-23_(Percent_of_GDP)"
"pdfs/Gambia, The/2019/1GMBEA2019001.pdf",28,"Table_2a._The_Gambia:_Statement_of_Central_Government_Operations,_2016–24_(Millions_of_local_currency)"
"pdfs/Gambia, The/2019/1GMBEA2019001.pdf",29,"Table_2b._The_Gambia:_Statement_of_Central_Government_Operations,_2018–19_(Cumulative,_millions_of_local_currency)"
"pdfs/Gambia, The/2019/1GMBEA2019001.pdf",30,"Table_3._The_Gambia:_Statement_of_Central_Government_Operations,_2016–24_(Percent_GDP)"
"pdfs/Gambia, The/2020/1GMBEA2020001.pdf",33,"Table_2._The_Gambia:_Statement_of_Central_Government_Operations,_2018–25_(Millions_of_local_currency)"
"pdfs/Gambia, The/2020/1GMBEA2020001.pdf",34,"Table_3._Statement_of_Central_Government_Operations,_2018–25_(Percent_of_GDP)"
"pdfs/Gambia, The/2020/1GMBEA2020001.pdf",35,"Table_4._The_Gambia:_Statement_of_Central_Government_Operations,_2019–20_(Cumulative,_millions_of_local_currency)"
"pdfs/Gambia, The/2020/1GMBEA2020002.pdf",17,"Table_4._The_Gambia:_Statement_of_Central_Government_Operations,_2018–22_(Millions_of_local_currency)"
"pdfs/Gambia, The/2020/1GMBEA2020002.pdf",18,"Table_5._The_Gambia:_Statement_of_Central_Government_Operations,_2018–22_(Percent_of_GDP)"
"pdfs/Gambia, The/2021/1GMBEA2021001.pdf",35,"Table_2._The_Gambia:_Statement_of_Central_Government_Operations,_2018–25_(Millions_of_local_currency)"
"pdfs/Gambia, The/2021/1GMBEA2021001.pdf",36,"Table_3._The_Gambia:_Statement_of_Central_Government_Operations,_2018–25_(Percent_of_GDP)"
"pdfs/Gambia, The/2021/1GMBEA2021001.pdf",37,"Table_4._The_Gambia:_Statement_of_Central_Government_Operations,_2020–21_(Cumulative_annually,_millions_of_local_currency)"
"pdfs/Gambia, The/2021/1GMBEA2021002.pdf",27,"Table_2._The_Gambia:_Statement_of_Central_Government_Operations,_2019–26_(Millions_of_local_currency)"
"pdfs/Gambia, The/2021/1GMBEA2021002.pdf",28,"Table_3._The_Gambia:_Statement_of_Central_Government_Operations,_2019–26_(Percent_of_GDP)"
"pdfs/Gambia, The/2021/1GMBEA2021002.pdf",29,"Table_4._The_Gambia:_Statement_of_Central_Government_Operations,_2020–21_(Cumulative,_millions_of_local_currency)"
"pdfs/Gambia, The/2021/1GMBEA2021003.pdf",38,"Table_2a._The_Gambia:_Statement_of_Central_Government_Operations,_2019–26_(Millions_of_local_currency)"
"pdfs/Gambia, The/2021/1GMBEA2021003.pdf",39,"Table_2b._The_Gambia:_Statement_of_Central_Government_Operations,_2019–26_(Percent_of_GDP)"
"pdfs/Gambia, The/2021/1GMBEA2021003.pdf",40,"Table_3._The_Gambia:_Statement_of_Central_Government_Operations,_2021–22_(Cumulative,_millions_of_local_currency)"
pdfs/Georgia/2018/cr18198.pdf,46,"Table_3a._Georgia:_General_Government_Operations,_GFSM_2001,_2015–23_(In_millions_of_GEL)"
pdfs/Georgia/2018/cr18198.pdf,47,"Table_3b._Georgia:_General_Government_Operations,_GFSM_2001,_2015–23_(In_percent_of_GDP)"
pdfs/Georgia/2018/cr18198.pdf,82,"Table_2._Georgia:_Projected_Financing_for_Cash_Deficit_of_the_General_Government_(in_millions_of_GEL,_cumulative_from_the_beginning_of_the_calendar_year)"
pdfs/Georgia/2018/cr18373.pdf,35,"Table_3a._Georgia:_General_Government_Operations,_GFSM_2001,_2015–23_(In_millions_of_GEL)"
pdfs/Georgia/2018/cr18373.pdf,36,"Table_3b._Georgia:_General_Government_Operations,_GFSM_2001,_2015–23_(In_percent_of_GDP)"
pdfs/Georgia/2018/cr18373.pdf,67,"Table_2._Georgia:_Projected_Financing_for_Cash_Deficit_of_the_General_Government_(in_millions_of_GEL,_cumulative_from_the_beginning_of_the_calendar_year)"
pdfs/Georgia/2019/1GEOEA2019001.pdf,35,"Table_3a._Georgia:_General_Government_Operations,_GFSM2001_2017–24_(In_millions_of_GEL)"
pdfs/Georgia/2019/1GEOEA2019001.pdf,36,"Table_3b._Georgia:_General_Government_Operations,_GFSM2001_2017–24_(In_percent_of_GDP)"
pdfs/Georgia/2019/1GEOEA2019001.pdf,73,"Table_2._Georgia:_Projected_Financing_for_Cash_Deficit_of_the_General_Government_(in_millions_of_GEL,_cumulative_from_the_beginning_of_the_calendar_year)"
pdfs/Georgia/2020/051420.pdf,26,"Table_2._Georgia:_Projected_Financing_for_Cash_Deficit_of_the_General_Government_(in_millions_of_GEL,_cumulative_from_the_beginning_of_the_calendar_year)"
pdfs/Georgia/2020/1GEOEA2020001.pdf,29,"Table_3a._Georgia:_General_Government_Operations,_GFSM2001_2018–25_(In_millions_of_GEL)"
pdfs/Georgia/2020/1GEOEA2020001.pdf,30,"Table_3b._Georgia:_General_Government_Operations,_GFSM2001_2018–25_(In_percent_of_GDP)"
pdfs/Georgia/2020/1GEOEA2020001.pdf,77,"Table_2._Georgia:_Projected_Financing_for_Cash_Deficit_of_the_General_Government_(in_millions_of_GEL,_cumulative_from_the_beginning_of_the_calendar_year)"
pdfs/Georgia/2020/1GEOEA2020006.pdf,36,"Table_3a._Georgia:_General_Government_Operations,_2018–25_(In_millions_of_GEL)"
pdfs/Georgia/2020/1GEOEA2020006.pdf,37,"Table_3b._Georgia:_General_Government_Operations,_2018–25_(In_percent_of_GDP)"
pdfs/Georgia/2020/1GEOEA2020006.pdf,76,"Table_2._Georgia:_Projected_Financing_for_Cash_Deficit_of_the_General_Government_(in_millions_of_GEL,_cumulative_from_the_beginning_of_the_calendar_year)"
pdfs/Georgia/2021/1GEOEA2021001.pdf,27,"Table_3a._Georgia:_General_Government_Operations,_GFSM2001_2019–26_(in_millions_of_GEL)"
pdfs/Georgia/2021/1GEOEA2021001.pdf,28,"Table_3b._Georgia:_General_Government_Operations,_GFSM2001_2019–26_(percent_GDP)"
pdfs/Georgia/2021/1GEOEA2021001.pdf,69,"Table_2._Georgia:_Projected_Financing_for_Cash_Deficit_of_the_General_Government_(in_millions_of_GEL,_cumulative_from_the_beginning_of_the_calendar_year)"
pdfs/Georgia/2021/1GEOEA2021002.pdf,32,"Table_3a._Georgia:_General_Government_Operations,_GFSM2001_2019–26_(In_millions_of_GEL)"
pdfs/Georgia/2021/1GEOEA2021002.pdf,33,"Table_3b._Georgia:_General_Government_Operations,_GFSM2001_2019–26_(In_percent_GDP)"
pdfs/Germany/2018/cr18208.pdf,45,"Table_2._Germany:_General_Government_Operations,_2015–23_(Percent_of_GDP)"
pdfs/Germany/2019/1DEUEA2019001.pdf,46,"Table_2._Germany:_General_Government_Operations,_2016–24_(Percent_of_GDP)"
pdfs/Germany/2021/1DEUEA2021001.pdf,25,"Table_2._Germany:_General_Government_Operations,_2019–25_(Percent_of_GDP)"
pdfs/Germany/2021/1DEUEA2021001.pdf,48,"Table_4._Germany:_General_Government_Operations,_2017–26_(Percent_of_GDP)"
pdfs/Germany/2021/1DEUEA2021002.pdf,47,"Table_2._Germany:_General_Government_Operations,_2017–26_(Percent_of_GDP)"
pdfs/Ghana/2018/cr18113.pdf,29,"_Table_2A._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2016–20_(GFS_2001,_Cash_Basis)"
pdfs/Ghana/2018/cr18113.pdf,30,"_Table_2B._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2016–20_(GFS_2001,_Cash_Basis)"
pdfs/Ghana/2018/cr18113.pdf,31,"_Table_2C._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2016–20_(GFS_2001,_Commitment_Basis)"
pdfs/Ghana/2018/cr18113.pdf,32,"_Table_2D._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2016–20_(GFS_2001,_Commitment_Basis)"
pdfs/Ghana/2019/1GHAEA2019001.pdf,34,"Table_2a._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–21_(GFS_2001,_Cash_Basis)"
pdfs/Ghana/2019/1GHAEA2019001.pdf,35,"Table_2b._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–21_(GFS_2001,_Cash_Basis)"
pdfs/Ghana/2019/1GHAEA2019001.pdf,36,"Table_2c._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–21_(GFS_2001,_Commitment_Basis)"
pdfs/Ghana/2019/1GHAEA2019001.pdf,37,"Table_2d._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–21_(GFS_2001,_Commitment_Basis)"
pdfs/Ghana/2019/1GHAEA2019002.pdf,33,"Table_2a._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–24_(GFS_2001,_Cash_Basis,_Percent_of_GDP)"
pdfs/Ghana/2019/1GHAEA2019002.pdf,34,"Table_2b._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–24_(GFS_2001,_Cash_Basis,_Millions_of_GHc)"
pdfs/Ghana/2019/1GHAEA2019002.pdf,35,"Table_2c._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–24_(GFS_2001,_Commitment_Basis,_Percent_of_GDP)"
pdfs/Ghana/2019/1GHAEA2019002.pdf,36,"Table_2d._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2017–24_(GFS_2001,_Commitment_Basis,_Millions_of_GHc)"
pdfs/Ghana/2021/1GHAEA2021001.pdf,37,"Table_2a._Ghana:_Summary_of_Budgetary_Central_Government_Operations,_2019–25_(GFS_2001,_Cash_Basis,_Percent_of_GDP)"
pdfs/Ghana/2021/1GHAEA2021001.pdf,38,"Table_2b._Ghana:_Summary_of_Budgetary_Central_Government_Operations._2019–25_(GFS_2001,_Cash_Basis,_GHS_Millions)"
pdfs/Greece/2018/cr18248.pdf,36,"Table_3._Greece:_General_Government_Operations,_2016–23_1_"
pdfs/Greece/2018/cr18248.pdf,39,"Table_6._Greece:_General_Government_Financing_Requirements_and_Sources,_2017–23_(Billions_of_euros)"
pdfs/Greece/2019/1GRCEA2019001.pdf,30,"Table_3._Greece:_General_Government_Operations,_2017–24_1_"
pdfs/Greece/2019/1GRCEA2019001.pdf,33,"Table_6._Greece:_General_Government_Financing_Requirements_and_Sources,_2018–24_(Billions_of_euros)"
pdfs/Greece/2019/1GRCEA2019002.pdf,40,"Table_3._Greece:_General_Government_Operations,_2017–24_1_"
pdfs/Greece/2019/1GRCEA2019002.pdf,43,"Table_6._Greece:_General_Government_Financing_Requirements_and_Sources,_2018–24_(Billions_of_euros)"
pdfs/Greece/2021/1GRCEA2021001.pdf,49,"Table_3._Greece:_General_Government_Operations,_2019–26_1_"
pdfs/Greece/2021/1GRCEA2021001.pdf,52,"Table_6._Greece:_General_Government_Financing_Requirements_and_Sources,_2018–26_(Billions_of_euro,_unless_otherwise_indicated)"
